Model,Train Accuracy,Test Accuracy,Precision,Recall,F1 Score,Training Time
Model 1,0.9986206896551724,0.9945054945054945,1.0,0.9894736842105263,0.9947089947089947,2.640625
Model 2,1.0,0.9945054945054945,1.0,0.9894736842105263,0.9947089947089947,0.875
Model 3,0.9986206896551724,0.9835164835164835,1.0,0.968421052631579,0.983957219251337,0.921875
Model 4,0.9986206896551724,1.0,1.0,1.0,1.0,0.828125
Model 5,0.9986206896551724,0.9065934065934066,1.0,0.8210526315789474,0.9017341040462429,0.734375
Model 6,0.9986206896551724,0.967032967032967,1.0,0.9368421052631579,0.967391304347826,0.609375
Model 7,0.9986206896551724,0.9945054945054945,1.0,0.9894736842105263,0.9947089947089947,0.546875
Model 8,0.9986206896551724,0.9835164835164835,1.0,0.968421052631579,0.983957219251337,0.5625
Model 9,0.9972413793103448,0.989010989010989,1.0,0.9789473684210527,0.9893617021276596,0.546875
Model 10,0.9986206896551724,0.9945054945054945,0.9895833333333334,1.0,0.9947643979057591,0.875
Model 11,0.9986206896551724,0.9835164835164835,1.0,0.968421052631579,0.983957219251337,0.46875
Model 12,0.9986206896551724,0.9835164835164835,1.0,0.968421052631579,0.983957219251337,0.90625
Model 13,1.0,0.989010989010989,0.979381443298969,1.0,0.9895833333333333,0.609375
Model 14,0.9986206896551724,0.9835164835164835,1.0,0.968421052631579,0.983957219251337,0.90625
Model 15,0.9986206896551724,0.9835164835164835,1.0,0.968421052631579,0.983957219251337,0.765625
Model 16,1.0,0.9835164835164835,1.0,0.968421052631579,0.983957219251337,0.59375
Model 17,1.0,0.978021978021978,1.0,0.9578947368421052,0.978494623655914,0.625
Model 18,0.9986206896551724,0.9945054945054945,1.0,0.9894736842105263,0.9947089947089947,0.9375
Model 19,0.9986206896551724,0.9945054945054945,0.9895833333333334,1.0,0.9947643979057591,0.859375
Model 20,0.9972413793103448,0.9945054945054945,0.9895833333333334,1.0,0.9947643979057591,0.984375
Model 21,1.0,0.989010989010989,0.9894736842105263,0.9894736842105263,0.9894736842105263,0.40625
Model 22,0.9986206896551724,0.989010989010989,0.9894736842105263,0.9894736842105263,0.9894736842105263,0.90625
Model 23,0.9986206896551724,1.0,1.0,1.0,1.0,0.421875
Model 24,1.0,1.0,1.0,1.0,1.0,0.296875
