,col_name,feature_importance_vals
1549,cg01268824,0.00206283857889628
2265,cg18499201,0.002053876522462313
2579,cg06736434,0.002023414583101667
185,cg27377289,0.0018632881212698553
2594,cg27062795,0.001834903825254765
436,cg01033642,0.001825415915612619
971,cg06617528,0.0018071702389389774
2353,cg21176488,0.0017622081308563166
468,cg23402920,0.0017546077339582176
2122,cg19974283,0.0017392241901990051
500,cg04007726,0.0017189708664930017
3705,cg27074505,0.00171593920518074
2975,cg11814235,0.0017085393121531775
1647,cg02683759,0.0016735163465229311
1168,cg16236270,0.0016647670481531882
408,cg03409187,0.0016463664328769264
3741,cg13864794,0.0016331583697669415
2355,cg19561076,0.001598712296722624
3709,cg19177627,0.0015753318823571417
607,cg21494379,0.0015678133434080964
1983,cg26767059,0.0015599607944474475
335,cg13545212,0.0015366659605105864
3695,cg04029159,0.0015344309404949383
144,cg08867825,0.0015331382502637128
209,cg13801402,0.0015219078976131891
3753,cg02080857,0.0015140712041836102
2426,cg02246426,0.00150062611287467
2036,cg19236675,0.0014996118003480284
3467,cg06151718,0.0014973756512958502
1700,cg05850327,0.001496628713401245
50,cg12194701,0.0014739474695234722
1838,cg01986630,0.0014586165184104613
671,cg12449852,0.0014563920984559885
1231,cg24937675,0.0014290200669403992
3922,cg03666439,0.0014273171966028555
720,cg14278853,0.001423287112076713
1079,cg25009498,0.0014209841210626548
520,cg05053562,0.0014127432152725241
2980,cg08071700,0.001396316009210656
808,cg06815003,0.0013949591465593429
2981,cg18995143,0.001394506199514957
1775,cg03943115,0.0013893441356670117
2983,cg25287071,0.001380648868798979
2203,cg06829686,0.001373989385924374
3817,cg08362102,0.0013710021243605298
1369,cg09929567,0.001361696740062551
2429,cg06333725,0.0013563960560952245
2128,cg22593395,0.0013463557931472365
1635,cg26018382,0.0013337764752913213
1094,cg19950139,0.00132234983349792
2882,cg14973798,0.0013220856639110997
2647,cg11091914,0.0013140486534726295
1820,cg09935388,0.0012873644875918248
3554,cg18096987,0.0012813953976156941
1619,cg14108894,0.0012762030305466868
1558,cg10254035,0.001268831340603042
1355,cg17939040,0.0012629452332199936
1387,cg03167413,0.0012596079856729344
933,cg20302533,0.0012568905544748273
644,cg01915516,0.0012568776341479327
1749,cg08819022,0.0012503744279327858
767,cg04248271,0.0012501119199819658
618,cg25610515,0.0012430700440742432
3531,cg22335876,0.001239085525070989
1329,cg01810186,0.0012364900109385981
1956,cg25924096,0.0012300986376678714
3379,cg06518271,0.0012274325065475843
3240,cg09670535,0.001221956354723355
3539,cg01527159,0.0012164304185629088
2225,cg08660971,0.0012110665612966652
2497,cg02768721,0.0012101044421997985
2575,cg13696609,0.0012097579793821907
1414,cg17928286,0.001209636419932614
3149,cg05706624,0.001208795414923488
565,cg07347148,0.0012078696370740702
903,cg24794433,0.0012046669176169385
2394,cg15414930,0.001199651577265066
3535,cg01394199,0.0011984402625672247
1464,cg24124703,0.001193698098354773
2599,cg06963219,0.0011925582674274635
3853,cg06890747,0.0011821821827059716
1114,cg24931092,0.0011778399056800418
3220,cg03857384,0.0011773614409864015
1445,cg14520913,0.0011769820006809133
3219,cg16971668,0.0011754901070893037
1756,cg05092308,0.0011740957989052041
3582,cg11627582,0.0011714298336827878
896,cg13906874,0.0011707374645473089
2276,cg06083001,0.0011697463826870042
1057,cg18366169,0.0011682292504231334
1989,cg23544472,0.0011674529873323927
2190,cg00720747,0.0011616745834826675
3097,cg05363081,0.001156990147013983
2412,cg05441518,0.001150085355189037
403,cg20586750,0.0011417545979007817
431,cg00515457,0.0011408304085156926
2993,cg06255601,0.0011399203246024814
2233,cg10322124,0.0011393013864355634
1488,cg23084528,0.0011371448262794447
167,cg11241498,0.0011353605247341905
3222,cg27084028,0.001131680810713392
1894,cg11121969,0.0011275914059705947
3411,cg12494301,0.0011174194864003672
3958,cg24552697,0.0011145932109210945
3199,cg10098021,0.0011138270329615022
1507,cg23638518,0.0011125952530923753
3831,cg11161597,0.001112325640623849
3295,cg01202666,0.0011122090206537967
499,cg08889797,0.0011028936544093524
3327,cg06396119,0.0011024064516490886
2461,cg19891728,0.0011019041483733606
197,cg05995260,0.0011014030736357105
3640,cg12230250,0.0010961540540552835
2088,cg16351410,0.0010938961914250505
2653,cg12346491,0.0010932148672092243
121,cg23618477,0.0010889441644077783
1965,cg04275847,0.0010825405727609122
479,cg17367077,0.0010798963811027439
3001,cg25576711,0.0010786189970581448
2742,cg07701018,0.001076644096558382
2082,cg00594560,0.0010763934946445605
255,cg27578977,0.0010758461624755
1979,cg00232903,0.0010723587007515397
1368,cg18121713,0.0010721232179435776
1693,cg04424621,0.0010684992509144148
1315,cg24626554,0.0010675414716018409
2468,cg00038233,0.0010641380483195524
3315,cg19098763,0.0010635686724716489
146,cg26944526,0.0010627210840093854
3185,cg26502018,0.0010610414576792116
347,cg25714208,0.001060632630909634
2563,cg04090468,0.001058776224896723
2369,cg26124318,0.001057602737789772
2919,cg23588462,0.0010551656252913183
3285,cg22197092,0.0010542272729460443
3347,cg03126547,0.0010532957470153132
1945,cg12543338,0.0010530249242959866
199,cg15058464,0.0010482806221738554
977,cg10143823,0.0010475286207349654
3725,cg03779241,0.00104690272985518
2720,cg00387117,0.0010436900410992433
3783,cg01449341,0.0010397614806757262
3601,cg02361702,0.0010382848327543765
2846,cg08300419,0.0010316815138879786
3491,cg24684348,0.0010303340852883907
1449,cg03894188,0.0010275611630148542
2819,cg05343739,0.0010268238320295673
575,cg14432910,0.0010268035205137558
2802,cg19162768,0.0010219864777320513
1137,cg06714480,0.001017996811823952
3952,cg18136895,0.0010177480885472348
1483,cg16933386,0.0010158214355302836
1075,cg24882709,0.0010155953046081588
1024,cg01258050,0.0010154858481624175
721,cg04478817,0.001010462068325696
2284,cg14405197,0.0010085537365184477
908,cg02675946,0.0010062458997438445
2766,cg15750500,0.0010055800977276923
99,cg12649343,0.001002857233917329
2162,cg24966902,0.0010008029790596678
1358,cg22263031,0.0010000847384146944
3236,cg03363478,0.0009995181106517614
4,cg05802386,0.0009994729556271212
191,cg00088183,0.000999335390021362
2337,cg04974062,0.0009985153597335738
3911,cg12760498,0.0009981668283486718
2613,cg21916479,0.000997636628905231
1583,cg21234506,0.0009969047923944713
1101,cg08436419,0.000996126869211931
866,cg21845080,0.0009897621987541023
1325,cg25678815,0.0009877171874026756
173,cg27518324,0.000986136315002333
71,cg09741592,0.0009845126449764738
3091,cg18729664,0.0009829793736204511
3302,cg25553522,0.000981276853140273
1290,cg12379948,0.000980135483624853
2557,cg24717935,0.000979834810747481
2824,cg11369736,0.0009772598172578938
2682,cg02873991,0.0009762902193816789
2336,cg01378062,0.0009749171172013026
2932,cg04157658,0.0009743393201308506
102,cg11595135,0.000971142567738972
1457,cg10024406,0.0009696249910647848
2857,cg00613113,0.0009694983280559396
3390,cg11743528,0.0009686156027528968
3378,cg05279772,0.0009675685058883134
656,cg04681394,0.0009670900412537117
2226,cg07624612,0.0009669355274148717
751,cg18812904,0.0009626465743787486
3586,cg05358715,0.0009622873901700021
2886,cg21484956,0.0009618161275964526
1605,cg12368694,0.000959311343280331
1702,cg09621330,0.0009588178055195118
2340,cg20023231,0.0009572330485207204
2500,cg10480461,0.0009571260379945532
344,cg06042148,0.0009529372272151767
2956,cg07654012,0.0009519375467375383
3024,cg20482280,0.0009502269433115261
2219,cg12691330,0.0009501900513024683
1161,cg13056369,0.0009484380367155547
3686,cg14219854,0.0009467102465714561
1015,cg10007051,0.0009441564204554659
1389,cg03167415,0.00094332514389611
3727,cg04916416,0.0009419899387206708
3592,cg20458811,0.0009398317224319553
2578,cg09514310,0.0009396981065726228
581,cg10468737,0.0009358562665900159
1779,cg13298199,0.0009344743542837461
678,cg01873234,0.0009313193039790725
351,cg05894557,0.0009292088787584236
2843,cg22506490,0.0009290339557352629
1625,cg11177858,0.0009278248567048211
898,cg25467634,0.0009263601762873365
357,cg10013716,0.00092520300780785
3534,cg07163547,0.0009241192453674588
2612,cg20807254,0.0009239200803184364
525,cg08903619,0.0009197819707377016
242,cg00145985,0.000918408984172292
2530,cg03641497,0.0009175445654846985
2199,cg06829681,0.0009175394843930854
1164,cg04091768,0.0009157197720974339
3901,cg20086597,0.0009146618810343077
3759,cg08925720,0.0009143209917274049
2351,cg02024077,0.0009098728363890053
505,cg06912282,0.0009089319812282438
3508,cg14209781,0.0009060868279601075
3561,cg24781973,0.0009055008643883474
1341,cg17208278,0.0009032291424179267
877,cg24127874,0.0009025890536580344
1120,cg26463200,0.0009019598907231879
1548,cg04904609,0.0008988903040900086
1608,cg27601695,0.0008985220342720501
1039,cg22428691,0.0008972845914701699
3455,cg24951263,0.0008964066902714469
1319,cg23549641,0.0008955129717459981
3770,cg18369034,0.0008948321258961594
1596,cg24086068,0.0008934315562547798
3245,cg22380139,0.0008914858501640115
106,cg16509851,0.0008903311590670612
2740,ch.4.162336241R,0.0008897314813230909
